"Title","Concept","Glossary term » Taxonomy term » Acronym (indexed field)","Definition","Deliverable(s)","Glossary term » Taxonomy term » Alternative labels (indexed field)","term_id","node_id"
"abiotic pollination_ppa","abiotic pollination","","Pollination (q.v.) without the agency of animal pollinators (q.v.), i.e. by wind, water or gravity.","Pollination assessment",NA,24513,40619
"abundance (ecological)_apa_ldr_ama_sua_eca","abundance (ecological)","","The size of a population of a particular life form in a given area.","Asia-Pacific assessment, Land degradation and restoration assessment, Americas assessment, Sustainable use assessment, Europe and Central Asia assessment",NA,21524,16224
"abundance (ecological)_ppa","abundance (ecological)","","The size of a population of a particular life form.","Pollination assessment",NA,21524,39559
"abundance (ecological)_ga1","abundance (ecological)","","see Abundance (ecological).","Global assessment (1st work programme)",NA,21524,40620
"abyssal plain_ga1","abyssal plain","","An extensive level area of the deep ocean floor typically situated between the foot of the continental rise or mid-ocean ridge and an oceanic trench and covered with fine sediments.","Global assessment (1st work programme)",NA,24514,40621
"acaricide_ppa","acaricide","","A substance that kills mites and ticks (Acari). Acaricides may be synthetic chemicals, natural chemicals, or biological agents.","Pollination assessment",NA,24515,40622
"acceptance_afa_apa","acceptance","","Acceptance of the Platform’s outputs at a session of the Plenary signifies that the material has not been subjected to line-by-line discussion and agreement, but nevertheless presents a comprehensive and balanced view of the subject matter.","Africa assessment, Asia-Pacific assessment",NA,21525,16225
"acceptance_eca_ldr","acceptance","","Acceptance of IPBES outputs at a session of its Plenary signifies that the material has not been subjected to line-by-line discussion and agreement, but nevertheless presents a comprehensive and balanced view of the subject matter.","Europe and Central Asia assessment, Land degradation and restoration assessment",NA,21525,39560
"access and benefit sharing_ga1_sua","access and benefit sharing","ABS","Access and benefit-sharing (ABS) refers to the way in which genetic resources may be accessed, and how the benefits that result from their use are shared between the people or countries using the resources (users) and the people or countries that provide them (providers). In some cases, this also includes valuable traditional knowledge associated with genetic resources that comes from Indigenous Peoples and Local Communities. The benefits to be shared can be monetary, such as sharing royalties when the resources are used to create a commercial product, or non-monetary, such as the development of research skills and knowledge.","Global assessment (1st work programme), Sustainable use assessment",NA,24516,40623
"access and benefit sharing_ama","access and benefit sharing","ABS","One of the three objectives of the Convention on Biological Diversity, as set out in its Article 1, is the fair and equitable sharing of the benefits arising out of the utilization of genetic resources, including by appropriate access to genetic resources and by appropriate transfer of relevant technologies, taking into account all rights over those resources and to technologies, and by appropriate funding. The CBD also has several articles (especially Article 15) regarding international aspects of access to genetic resources.","Americas assessment",NA,24516,40624
"accountability_afa","accountability","","Is an assurance that an individual or an organization will be evaluated on their performance or behaviour related to something for which they are responsible.","Africa assessment",NA,24518,40626
"accountability_tca","accountability","","Refers to a willingness to accept responsibility or to account for one's actions. Accountability is related to notions of responsibility, with the two terms often used interchangeably (Biermann & Gupta, 2011; Mason, 2008).","Transformative change assessment",NA,24518,87913
"acid deposition_ldr","acid deposition","","Precipitation with a low pH (acid) caused by atmospheric pollutants.","Land degradation and restoration assessment",NA,24519,40627
"acid sulfate soil_ldr","acid sulfate soil","","Common name for soils that contain metal sulphides.","Land degradation and restoration assessment",NA,24520,40628
"acidification_sua_eca_ga1_ama_ldr","acidification","","Ongoing decrease in pH away from neutral value of 7. Often used in reference to oceans, freshwater or soils, as a result of uptake of carbon dioxide from the atmosphere.","Sustainable use assessment, Europe and Central Asia assessment, Global assessment (1st work programme), Americas assessment, Land degradation and restoration assessment",NA,21526,16933
"acidification_apa","acidification","","Ongoing decrease in pH away from neutral value of 7. Often used in reference to oceans, freshwater or soils, in response to uptake of carbon dioxide from the atmosphere.","Asia-Pacific assessment",NA,21526,40629
"active disruption_tca","active disruption","","Deliberative efforts to elicit and trigger destabilization or removal of one or more barriers and their related challenges resulting in long-term change in a part or whole system level of infrastructures, markets, regulations, actors and networks, practices, behaviours and views towards biodiversity restoration and living in harmony with nature (Kivimaa et al., 2021).","Transformative change assessment",NA,33925,87914
"active restoration_ldr","active restoration","","See restoration.","Land degradation and restoration assessment",NA,24521,40630
"actor_eca","actor","","Individual person or group representative that is involved in a specific decision- making context.","Europe and Central Asia assessment",NA,24522,40631
"actor_va","actor","","Actors may be understood as individuals operating certain roles or functions in society. Hence, the same individual may for instance (i) serve as a political actor, (ii) operate as an economic actor, and (iii) act as a community member/citizen. They may therefore emphasise different goals and values when dealing with particular issues. For this reason, the values assessment uses a typology that includes these actors recognizing the fuzzy relationships that exist among them. See Affected actors, Key players, Influence.","Values assessment",NA,24522,40632
"actor_scm","actor","","Active stakeholders influencing a policy or decision-making process.","Scenarios and models assessment",NA,24522,40633
"actor_tca","actor","","Refers to entities such as individuals, organizations, or States that have interests and preferences, decision-making capacities, and strategies (Hasse, 2019). In this assessment, 17 types of actor groups are recognized, organized in four sectors: 1) civil society (civil society organizations, environmental movements/activists, Indigenous Peoples, individual citizens, local communities, non-governmental organizations); 2) private sector (business, donor/foundations, financial actors); 3) government sector (intergovernmental organizations, justice system, local/regional government) and; 4) communication and knowledge sector (education, media and communication, networks, scientific community).","Transformative change assessment",NA,24522,88325
"actor_nxs","actor","","In the scope of this assessment, defined as any individual or group that is directly or indirectly, formally or informally, associated with or affected by the nexus elements and response options. Actors seek to influence public decisions and enable action to address societal aspirations, needs and concerns. Examples of actor categories include global and regional institutions, national, sub-national and local governments, knowledge and educational communities, civil society and community-based organizations, Indigenous Peoples and local communities, the private sector and business organizations, science-policy interfaces, financing institutions, and media and the arts, each of whom have their own stakes and interests. Actors also operate in relation to one another, with some wielding more influence than others over decision-making, while some may be more affected by decisions made by others.","Nexus assessment",NA,24522,87915
"adaptability_ga1","adaptability","","The capacity to adjust responses to changing external drivers and internal processes, and thereby channel development along the preferred trajectory in what is called a stability domain.","Global assessment (1st work programme)",NA,24523,40634
"adaptability_nxs","adaptability","","The capacity to adjust responses to changing external drivers and internal processes, and thereby channel development along the preferred trajectory.","Nexus assessment",NA,24523,87917
"adaptation_eca_ama_apa","adaptation","","Adjustment in natural or human systems to a new or changing environment, whether through genetic or behavioural change.","Europe and Central Asia assessment, Americas assessment, Asia-Pacific assessment",NA,21527,16226
"adaptation_sua_nxs_tca","adaptation","","Adjustment in natural or human systems in response to actual or expected stimuli or their effects, which moderates harm or exploits beneficial opportunities.","Sustainable use assessment",NA,21527,40635
"adaptation response_apa","adaptation response","","Responsive outcome from adaptations, either antropogenic (such as adaptations to environmental change) or natural (such as species adaptations, possibly arising from selective pressures).","Asia-Pacific assessment",NA,24524,40636
"adaptive capacity_ldr_apa_ga1_ama_eca_nxs_tca","adaptive capacity","","The general ability of institutions, systems, and individuals to adjust to potential damage, to take advantage of opportunities, or to cope with the consequences.","Land degradation and restoration assessment",NA,21528,16227
"adaptive capacity_sua","adaptive capacity","","The resilience of an ecological, social or social-ecological system to unexpected or unpredictable shocks.","Sustainable use assessment",NA,21528,40637
"adaptive co-management_apa","adaptive co-management","","An extension of Co-management. A means of sustaining socio-ecological systems by building their resilience and adaptive capacity and establishing sustainable pathways as well as providing a novel institutional arrangement to generate adaptive responses.","Asia-Pacific assessment",NA,24525,40638
"adaptive governance_tca","adaptive governance","","Includes a range of interactions between actors, networks, organizations, and institutions emerging in pursuit of a desired state for social-ecological systems. It goes beyond top-down processes and explicitly requires processes of participatory co-evaluation and bottom-up evaluation, and responds to the uncertainties and complexities associated with global environmental change.","Transformative change assessment",NA,28631,87918
"adaptive governance_ias","adaptive governance","","refers to flexible and learning-based collaborations and decision-making processes involving both state and nonstate actors, often at multiple levels, with the aim to adaptively negotiate and coordinate management of social–ecological systems and ecosystem services across landscapes and seascapes","Invasive alien species assessment",NA,28631,69547
"adaptive learning_tca","adaptive learning","","Engagement in ongoing processes of evaluation, learning and adaptation, which allow for contestation, attentive care towards unfolding impacts and mitigation of unintended consequences (Barth et al., 2023).","Transformative change assessment",NA,33926,87919
"adaptive management_apa_ama_eca","adaptive management","","A systematic process for continually improving management policies and practices by learning from the outcomes of previously employed policies and practices. In active adaptive management, management is treated as a deliberate experiment for purposes of learning.","Asia-Pacific assessment, Americas assessment, Europe and Central Asia assessment",NA,21529,16228
"adaptive management_ga1_scm","adaptive management","","A formal procedure for learning by doing, that is particularly amenable to sequential decision problems.","Global assessment (1st work programme), Scenarios and models assessment",NA,21529,40639
"adaptive management_ldr","adaptive management","","A systematic process for continually improving management policies and practices by learning from the outcomes of previously employed policies and practices.","Land degradation and restoration assessment",NA,21529,40640
"adaptive management_sua","adaptive management","","Adaptive management is defined as a systematic process for continually improving management policies and practices by learning from the outcomes of previously employed policies and practices and by taking in account the intrinsic changes in the system being managed over time. In active adaptive management, management is treated as a deliberate experiment for purposes of learning by doing.","Sustainable use assessment",NA,21529,87920
"adaptive management_ias","adaptive management","","a philosophy that accepts that management must proceed even without complete information. It views management not only as a way to achieve objectives, but also as a process for probing to learn more about the resource or system being managed. Learning is an inherent objective of adaptive management. Adaptive management is a process where policies and activities can adapt to future conditions to improve management success","Invasive alien species assessment",NA,21529,69548
"adaptive radiation_ga1","adaptive radiation","","The evolution of a number of divergent species from a common ancestor, each species becoming adapted to occupy a different ecological niche.","Global assessment (1st work programme)",NA,24526,40641
"adoption_afa_apa","adoption","","Adoption of an IPBES report is a process of section-by-section (and not line-by-line) endorsement, as described in section 3.9, at a session of the Plenary.","Africa assessment, Asia-Pacific assessment",NA,21530,16229
"aeorobic_ldr","aeorobic","","A condition in which molecular oxygen is freely available.","Land degradation and restoration assessment",NA,24527,40642
"aerosol_ga1_sua","aerosol","","A collection of solid or liquid particles suspended in a gas. They include dust, smoke, mist, fog, haze, clouds, and smog.","Global assessment (1st work programme), Sustainable use assessment",NA,24528,40643
"affected actor_va","affected actor","","People and organizations who are directly involved in (and dependent on) the implementation of biodiversity related decisions and have their own stakes and interests.","Values assessment",NA,24529,40644
"afforestation_ama","afforestation","","Converting grasslands or shrublands into tree plantations. Afforestation is sometimes suggested as a tool to sequester carbon, but it can have negative impacts on biodiversity and ecosystem function.","Americas assessment",NA,21531,16934
"afforestation_eca_ldr","afforestation","","Converting grasslands or shrublands into tree plantations. Afforestation is sometimes suggested as a tool to sequester carbon, but it can have negative impacts on biodiversity and ecosystem function, for example by reducing runoff and so decreasing water production.","Europe and Central Asia assessment, Land degradation and restoration assessment",NA,21531,87921
"afforestation_nxs","afforestation","","The establishment of a forest, stand or tree crop on an area not previously forested, or on land from which forest cover has very long been absent.","Nexus assessment",NA,21531,87922
"afforestation_ga1","afforestation","","Planting of new forests on lands that historically have not contained forests.","Global assessment (1st work programme)",NA,21531,88457
"agency_tca","agency","","The capacity of individual and collective actors to change the course of events or the outcome of processes (Otto et al., 2020). For transformative change, agency can be exercised through a range of roles with individuals working to enact change within their own spheres of influence. Agency can also apply to non-human entities (Watts, 2013). In this assessment, agency is recognized as something that can be created, shaped and constrained by political-economic processes, cultural and social norms, dominant system paradigms and education and knowledge systems (chapter 3).","Transformative change assessment",NA,33927,87923
"agenda setting_scm_ldr_ama_eca","agenda setting","","One of four phases in the policy cycle. Agenda setting motivates and sets the direction for policy design and implementation.","Scenarios and models assessment, Land degradation and restoration assessment, Americas assessment, Europe and Central Asia assessment",NA,21532,16230
