"id","prefix","term","definition","reports","downloaded_at"
"495","123","1.5°C pathway","A pathway of emissions of greenhouse gases and other climate forcers that provides an approximately one-in-two to two-in-three chance, given current knowledge of the climate response, of global warming either remaining below 1.5°C or returning to 1.5°C by around 2100 following an overshoot.","SRCCL; SR15; AR6","2026-02-27"
"1","123","1.5°C warmer worlds","Projected worlds in which global warming has reached and, unless otherwise indicated, been limited to 1.5°C above pre-industrial levels. There is no single 1.5°C warmer world, and projections of 1.5°C warmer worlds look different depending on whether it is considered on a near-term transient trajectory or at climate equilibrium after several millennia, and, in both cases, if it occurs with or without overshoot. Within the 21st century, several aspects play a role for the assessment of risk and potential impacts in 1.5°C warmer worlds: the possible occurrence, magnitude and duration of an overshoot; the way in which emissions reductions are achieved; the ways in which policies might be able to influence the resilience of human and natural systems; and the nature of the regional and sub-regional risks. Beyond the 21st century, several elements of the climate system would continue to change even if the global mean temperatures remain stable, including further increases of sea level.","SR15; AR6","2026-02-27"
"2282","123","13C","Stable isotope of carbon having an atomic weight of approximately 13. Measurements of the ratio of 13C/12C in carbon dioxide molecules are used to infer the importance of different carbon cycle and climate processes and the size of the terrestrial carbon reservoir.","AR5-WG1; AR6","2026-02-27"
"2284","123","14C","Unstable isotope of carbon having an atomic weight of approximately 14, and a half-life of about 5700 years. It is often used for dating purposes going back some 40 kyr. Its variation in time is affected by the magnetic fields of the Sun and Earth, which influence its production from cosmic rays (see Cosmogenic radioisotopes).","AR5-WG1; AR6","2026-02-27"
"3","123","2030 Agenda for Sustainable Development","A UN resolution in September 2015 adopting a plan of action for people, planet and prosperity in a new global development framework anchored in 17 Sustainable Development Goals (UN, 2015).","SRCCL; SR15; AR6","2026-02-27"
"2544","A","Ablation","Surface processes that reduce the mass of a glacier. The main contributor to ablation is melting with runoff but on some glaciers sublimation, loss of wind-blown snow and avalanching are also significant processes of ablation.","AR5-WG1","2026-02-27"
"2076","A","Ablation (of glaciers, ice sheets, or snow cover)","All processes that reduce the mass of a glacier, ice sheet, or snow cover. The main processes are melting, and for glaciers also calving (or, when the glacier nourishes an ice shelf, discharge of ice across the grounding line), but other processes such as sublimation and loss of wind-blown snow can also contribute to ablation. Ablation also refers to the mass lost by any of these processes.","SROCC; AR6","2026-02-27"
"5579","A","Abrupt change","A change in the system that is substantially faster than the typical rate of the changes in its history.","AR6","2026-02-27"
"2078","A","Abrupt change / abrupt climate change","Abrupt change refers to a change that is substantially faster than the rate of change in the recent history of the affected components of a system. Abrupt climate change refers to a large-scale change in the climate system that takes place over a few decades or less, persists (or is anticipated to persist) for at least a few decades, and causes substantial disruptions in human and natural systems.","SROCC; AR5-WG3; AR5-WG2; AR5-WG1; SREX","2026-02-27"
"3154","A","Abrupt change/abrupt climate change","Abrupt change refers to a change that is substantially faster than the rate of change in the recent history of the affected components of a system. Abrupt climate change refers to a large-scale change in the climate system that takes place over a few decades or less, persists (or is anticipated to persist) for at least a few decades and causes substantial disruptions in human and natural systems.","AR5-SYR","2026-02-27"
"5581","A","Abrupt climate change","A large-scale abrupt change in the climate system that takes place over a few decades or less, persists (or is anticipated to persist) for at least a few decades and causes substantial impacts in human and/or natural systems.","AR6","2026-02-27"
"5","A","Acceptability of policy or system change","The extent to which a policy or system change is evaluated unfavourably or favourably, or rejected or supported, by members of the general public (public acceptability) or politicians or governments (political acceptability). Acceptability may vary from totally unacceptable/fully rejected to totally acceptable/fully supported; individuals may differ in how acceptable policies or system changes are believed to be.","SRCCL; SR15; AR6","2026-02-27"
"3228","A","Access (to food)","One of the three components underpinning food security, the other two being availability and utilization. Access to food is dependent on (1) the affordability of food (i.e., people have income or other resources to exchange for food); (2) satisfactory allocation within the household or society; and (3) preference (i.e., it is what people want to eat, influenced by socio-cultural norms).","AR5-WG2; AR6","2026-02-27"
"5865","A","Access to modern energy services","Access to clean, reliable and affordable energy services for cooking, heating, lighting, communications, and productive uses.","AR6","2026-02-27"
